,name,preprocessed
0,A. 고메스,"['네이마르 Jr.', 'D. 마라도나', '리오넬 메시', '루드 굴리트']"
1,A. 골로빈,"['사울', '산티 미나', '악셀 비첼', '루카 모드리치', '루드 굴리트']"
2,A. 과르다도,"['마르코스 로호', 'P. 비에이라', '에마뉘엘 프티', '라파엘 바란', '조던 모리스']"
3,A. 그랑크비스트,"['라파엘 바란', '다비드 루이스', 'R. 푸네스 모리']"
4,A. 그리즈만,"['킬리안 음바페', '모하메드 살라', '가레스 베일', '네이마르 Jr.', '리오넬 메시']"
5,A. 네스타,"['야프 스탐', '라파엘 바란', '파올로 말디니', '솔 캠벨']"
6,A. 데이비스,"['하비 반스', '무사 뎀벨레', '오카자키 신지', '브루누 페레스', '제이미 바디']"
7,A. 델피에로,"['네이마르 Jr.', '에우제비우', '요한 크루이프', '로베르토 바조']"
8,A. 두쿠레,"['A. 셰브첸코', '제롬 보아텡', 'P. 비에이라', '미하엘 발락', '루드 굴리트']"
9,A. 디아와라,"['에마뉘엘 프티', '은골로 캉테', 'P. 비에이라', 'A. 산체스']"
10,A. 라비오,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '폴 포그바', '루드 굴리트']"
11,A. 라카제트,"['S. 아구에로', '카림 벤제마', 'P. 오바메양', '티에리 앙리', '호나우두']"
12,A. 라포르트,"['제롬 보아텡', 'S. 아구에로', '라파엘 바란', '세르히오 라모스', '파올로 말디니']"
13,A. 로마뇰리,"['조던 헨더슨', '은골로 캉테', 'A. 네스타', '미하엘 발락', '파올로 말디니']"
14,A. 로버트슨,"['호나우두', '카림 벤제마', '모하메드 살라', '홍철', '곤살로 이과인']"
15,A. 루크먼,"['S. 아구에로', '루크 쇼', '구보 다케후사', '제이든 산초']"
16,A. 뤼디거,"['다비드 루이스', '벤 데이비스', 'A. 데이비스', '크리스 스몰링', '대니 로즈']"
17,A. 마르체신,"['제르단 샤키리', '리오넬 메시']"
18,A. 마시엘로,"['벤 포스터', '웨인 헤네시']"
19,A. 모데스테,"['프랑크 리베리', '로멜루 루카쿠', '티에리 앙리', '올리비에 지루', '하석주']"
20,A. 무리치,['라파엘 바란']
21,A. 미트로비치,"['카스퍼 돌베르', '카림 벤제마', '로멜루 루카쿠', '로비 브레이디', 'M. 발로텔리']"
22,A. 밀리크,"['C. 사파타', '무사 시소코', '퀸시 프로머스', '해리 케인', '곤살로 이과인']"
23,A. 바르찰리,"['L. 보누치', 'G. 키엘리니', '파올로 말디니', '루드 굴리트', 'F. 칸나바로']"
24,A. 바스토니,"['커트 주마', '하미레스', '리스 넬슨', '리스 제임스', '루드 굴리트']"
25,A. 발렌시아,"['홍철', '차두리', '카푸', '카일 워커']"
26,A. 베고비치,['G. 돈나룸마']
27,A. 벨로티,"['H. 크레스포', '에딘 제코', '라파엘 바란', '카림 벤제마', '파올로 말디니']"
28,A. 브레메,"['L. 마테우스', '홍철', '카푸', 'P. 비에이라']"
29,A. 사나브리아,['루드 굴리트']
30,A. 산체스,"['네이마르 Jr.', '후안 마타', 'D. 마라도나', '리오넬 메시']"
31,A. 셰브첸코,"['크리스티아누 호날두', 'H. 크레스포', '티에리 앙리', '호나우두']"
32,A. 아레올라,"['이스코', '에런 모이']"
33,A. 아이다라,['테오']
34,A. 야누자이,['후안 마타']
35,A. 야르몰렌코,"['가레스 베일', '로스 바클리', '루드 굴리트', '카일 워커']"
36,A. 엘카야티,"['히바우두', '루드 굴리트', 'S. 베르흐베인']"
37,A. 옥스-체임벌린,"['스티븐 제라드', '제르단 샤키리', '마리오 괴체', '제임스 밀너', '파비뉴']"
38,A. 완-비사카,['세르히오 라모스']
39,A. 외뮈르,"['로만 뷔어키', '리오넬 메시']"
40,A. 윌리엄스,['알렉스 산드루']
41,A. 이사크,"['알반 라퐁', 'A. 데이비스', '킬리안 음바페', '다비드 알라바', '가레스 베일']"
42,A. 지브코비치,['잔루이지 부폰']
43,A. 콘실리,"['P. 비에이라', 'A. 발렌시아', '킬리안 음바페', '카림 벤제마', '카를로스 바카']"
44,A. 콜라로프,"['페를랑 멘디', 'P. 비에이라', '에마뉘엘 프티', '맷 리치', '솔 캠벨']"
45,A. 크라뇨,"['라파엘 바란', '사뮈엘 움티티']"
46,A. 크라마리치,"['H. 크레스포', '에덴 아자르', '맷 리치', '가가와 신지', '호나우두']"
47,A. 크리스텐센,"['다비드 루이스', '라파엘 바란', '크리스 스몰링', 'A. 뤼디거', '파올로 말디니']"
48,A. 클로드-모리스,"['유상철', 'P. 비에이라', '백승호', '이강인', '기성용']"
49,A. 타운젠드,"['헐크', '에우데르 코스타', '가레스 베일', '리로이 자네', '저메인 렌스']"
50,A. 트라오레,"['잔루이지 부폰', 'S. 아구에로', '킬리안 음바페', '폴 포그바', '웨인 루니']"
51,A. 팔로스키,"['크리스티아누 호날두', 'P. 오바메양', 'C. 비에리', '루드 굴리트', '필리포 인자기']"
52,A. 팔로체비치,"['김태영', '양상민']"
53,A. 플로렌치,"['은골로 캉테', '에마뉘엘 프티', '로렌', '홍철', '루드 굴리트']"
54,A. 핀보가손,"['황선홍', 'D. 트레제게', '로멜루 루카쿠', '이동국', '박주영']"
55,A. 하키미,"['주앙 칸셀루', '에덴 아자르', '페를랑 멘디', '홍철', '파올로 말디니']"
56,A. 할릴로비치,['유리 베르치체']
57,B. 고미스,"['카시야스', '티보 쿠르투아', '데헤아']"
58,B. 라우드루프,"['호나우두', '호나우지뉴', '리오넬 메시', '곤살로 이과인']"
59,B. 마르팅스 인디,"['커트 주마', 'M. 더리흐트', 'F. 레이카르트']"
60,B. 마튀이디,"['은골로 캉테', 'P. 비에이라', '에마뉘엘 프티', '악셀 비첼', '라자 나잉골란']"
61,B. 수마레,"['율리안 브란트', '안드레 쉬얼레', '케빈 폴란트', '리오넬 메시', '무사 디아비']"
62,B. 슈바인슈타이거,"['폴 스콜스', '스티븐 제라드', '메수트 외질', '미하엘 발락', '폴 포그바']"
63,B. 아수-에코토,['베투']
64,B. 제마일리,['호나우두']
65,B. 카마라,"['라파엘 바란', '얀 베르통언', '솔 캠벨', '루드 굴리트', '파올로 말디니']"
66,B. 트라우트만,"['E. 가라이', '레프 야신', '가야', '파올로 말디니']"
67,B. 회베데스,"['P. 비에이라', '야프 스탐', '이정수', '홍명보', '파올로 말디니']"
